re,im
-0.0060121622,-0.0104356504
0.0067252076,-0.0094905368
0.0001256326,-0.0000240149
-0.0051772818,-0.0150548035
-0.0066112059,0.0110953766
-0.0034341986,0.0067841238
0.0095470740,0.0154587045
-0.0135495907,-0.0103581479
-0.0015484495,-0.0101067862
-0.0135201010,-0.0034590302
-0.0028110979,-0.0060698564
-0.0057797060,0.0013571172
0.0111016580,-0.0069308928
-0.0023275407,0.0035988876
0.0165810949,-0.0037704007
0.0191556814,-0.0069000834
-0.0014749474,-0.0153511561
0.0071911964,-0.0077558087
-0.0014493169,0.0009656973
-0.0206326831,0.0105714302
0.0093962391,0.0046053603
0.0034075619,-0.0168577999
-0.0027752723,-0.0047106416
-0.0049757451,-0.0000669246
0.0020948838,0.0032722406
0.0028695938,0.0109089921
-0.0069833607,0.0010124924
-0.0054119169,-0.0086063573
0.0103367583,0.0039253725
0.0007358066,0.0022911735
-0.0004608999,0.0021903666
0.0105968971,-0.0003172472
-0.0041473028,0.0155987141
0.0082268897,0.0033865108
-0.0108691141,0.0070251617
-0.0003867791,-0.0090451406
-0.0023792683,0.0073836901
0.0070309928,-0.0043353070
0.0048546332,-0.0144993214
0.0184173994,0.0083506099
0.0090806108,0.0090410283
-0.0028447781,-0.0029558654
0.0200345611,0.0071900306
-0.0114747725,0.0062234669
0.0178956902,0.0024236818
0.0012495265,-0.0214926614
0.0065396317,0.0059482704
-0.0078702920,-0.0016902927
-0.0060806620,0.0085981780
0.0149445821,0.0047986845
-0.0171250452,0.0042737638
-0.0181023689,0.0016388473
0.0076565982,-0.0102744520
-0.0029741750,0.0089800790
0.0077257030,-0.0077332190
0.0170659105,-0.0060177767
-0.0068470409,-0.0089739812
0.0077254281,-0.0006443060
0.0134898120,-0.0141214515
0.0043889040,0.0068949001
0.0002338211,0.0086201895
-0.0009903035,0.0185849640
-0.0081329325,-0.0095943569
0.0122066690,-0.0084946036
0.0012900307,-0.0135542837
-0.0075089198,0.0056909989
-0.0027338825,0.0106729666
-0.0022409469,0.0055739883
0.0055425972,0.0030343965
-0.0017771619,0.0010311685
0.0037686900,0.0021162574
0.0040601994,0.0011469568
0.0038636083,0.0135663522
0.0032688273,0.0073875705
-0.0052044343,-0.0158357994
0.0019524551,0.0064767595
0.0086857685,0.0078116658
0.0162411155,-0.0098804194
0.0008327227,-0.0152443824
0.0050909456,0.0136313030
-0.0155298422,0.0068899737
0.0054248023,0.0050568402
-0.0146044607,0.0218124820
-0.0153582091,-0.0040834844
0.0084279128,-0.0014373840
0.0068362378,-0.0019112933
-0.0003792912,0.0076616946
-0.0175282146,-0.0024204036
-0.0031669999,0.0057309901
-0.0066638664,0.0019244709
0.0069045342,0.0107567755
0.0228689520,0.0116032901
0.0021693049,-0.0133553186
-0.0079152139,0.0048782672
-0.0115482947,-0.0034876526
-0.0005842807,0.0002957233
-0.0021918168,0.0042169220
-0.0120503904,0.0036318263
0.0020754818,-0.0060619004
-0.0118557722,0.0010066105
0.0106119325,0.0036549507
0.0104169923,0.0021114644
0.0133811083,-0.0087767678
-0.0027537754,-0.0078229550
0.0060342848,-0.0021676819
-0.0030218577,0.0049369913
-0.0083165493,0.0117019761
0.0002531065,-0.0100796143
-0.0083093703,-0.0139026023
-0.0137701513,-0.0045647623
0.0094973726,-0.0015024386
0.0018052954,-0.0078398553
0.0058268732,-0.0063101727
0.0132572343,-0.0030794253
-0.0172079161,-0.0050021188
0.0014803185,-0.0169943805
-0.0054678440,0.0113391507
0.0081675795,-0.0047876031
-0.0000863404,-0.0062135295
0.0134882785,-0.0005553093
0.0135466774,-0.0131901993
0.0005081578,-0.0191658351
-0.0145870427,0.0022345737
