McsIndex,SnrDb,EffectiveSinrDb,MeasuredBler,TotalBlocks,FailedBlocks,SuccessfulBlocks,CiLow95,CiHigh95,EesmBeta,Mapping
5,20,10.3989197435355,1,104,104,0,0.964377383124879,1,6.5,eesm
5,22,11.1528662730999,0.971153846153846,104,101,3,0.918598230697878,0.990141995708258,6.5,eesm
5,24,12.1396757629854,0.919642857142857,112,103,9,0.854302972302565,0.957149908182511,6.5,eesm
5,26,13.0111029255806,0.677631578947368,152,103,49,0.599740672261658,0.746765010431539,6.5,eesm
5,28,13.4652795501564,0.51,200,102,98,0.441184632709161,0.578438447172473,6.5,eesm
5,30,14.0336827698021,0.382575757575758,264,101,163,0.326029607971987,0.44249029334282,6.5,eesm
6,20,10.900591713352,1,104,104,0,0.964377383124879,1,12,eesm
6,22,12.0800376309539,0.990384615384615,104,103,1,0.947530993323053,0.998300670895579,12,eesm
6,24,12.808097783167,0.971153846153846,104,101,3,0.918598230697878,0.990141995708258,12,eesm
6,26,13.957107361557,0.8203125,128,105,23,0.744782199708605,0.87717627166917,12,eesm
6,28,14.8114230275991,0.65,160,104,56,0.573362697530436,0.719603191474555,12,eesm
6,30,15.6050679655861,0.390625,256,100,156,0.332896877103213,0.451587208585915,12,eesm
7,22,12.4361120555762,1,104,104,0,0.964377383124879,1,16,eesm
7,24,13.5096458983724,1,104,104,0,0.964377383124879,1,16,eesm
7,26,14.44557419289,1,104,104,0,0.964377383124879,1,16,eesm
7,28,15.3602437791507,0.980769230769231,104,102,2,0.932575546036441,0.994710399275943,16,eesm
7,30,16.3649137593677,0.919642857142857,112,103,9,0.854302972302565,0.957149908182511,16,eesm
8,24,13.856539202402,1,104,104,0,0.964377383124879,1,20,eesm
8,26,14.6105723942817,1,104,104,0,0.964377383124879,1,20,eesm
8,28,15.7752514580744,1,104,104,0,0.964377383124879,1,20,eesm
8,30,16.6012257032899,0.980769230769231,104,102,2,0.932575546036441,0.994710399275943,20,eesm
