McsIndex,SnrDb,EffectiveSinrDb,MeasuredBler,TotalBlocks,FailedBlocks,SuccessfulBlocks,CiLow95,CiHigh95,EesmBeta,Mapping
4,22,4.07851029166964,0.891666666666667,120,107,13,0.823444919947261,0.935589201058928,5.5,minimum
4,24,4.53532829617254,0.701388888888889,144,101,43,0.622198753225917,0.770113018291707,5.5,minimum
4,26,5.37995427969415,0.360714285714286,280,101,179,0.306701670787118,0.418497172511398,5.5,minimum
4,28,6.00195323651981,0.208333333333333,480,100,380,0.174387878646314,0.246910331346378,5.5,minimum
4,30,6.74229314960575,0.108695652173913,920,100,820,0.0901856188272417,0.130459998343494,5.5,minimum
5,16,2.41439969095623,1,104,104,0,0.964377383124879,1,6.5,minimum
5,18,3.29970111124534,1,104,104,0,0.964377383124879,1,6.5,minimum
5,20,3.80889038509172,1,104,104,0,0.964377383124879,1,6.5,minimum
5,22,4.11026463026459,0.971153846153846,104,101,3,0.918598230697878,0.990141995708258,6.5,minimum
5,24,5.07283948120274,0.919642857142857,112,103,9,0.854302972302565,0.957149908182511,6.5,minimum
5,26,5.85920533750241,0.677631578947368,152,103,49,0.599740672261658,0.746765010431539,6.5,minimum
5,28,6.24115141497893,0.51,200,102,98,0.441184632709161,0.578438447172473,6.5,minimum
5,30,6.62751758067504,0.382575757575758,264,101,163,0.326029607971987,0.44249029334282,6.5,minimum
6,20,3.50647586959272,1,104,104,0,0.964377383124879,1,12,minimum
6,22,4.61241962067868,0.990384615384615,104,103,1,0.947530993323053,0.998300670895579,12,minimum
6,24,4.87810185454686,0.971153846153846,104,101,3,0.918598230697878,0.990141995708258,12,minimum
6,26,5.80402956452165,0.8203125,128,105,23,0.744782199708605,0.87717627166917,12,minimum
6,28,5.99784856646655,0.65,160,104,56,0.573362697530436,0.719603191474555,12,minimum
6,30,6.73751613432567,0.390625,256,100,156,0.332896877103213,0.451587208585915,12,minimum
7,22,4.17101052077155,1,104,104,0,0.964377383124879,1,16,minimum
7,24,4.73724088659974,1,104,104,0,0.964377383124879,1,16,minimum
7,26,5.41219392338388,1,104,104,0,0.964377383124879,1,16,minimum
7,28,6.24313310033726,0.980769230769231,104,102,2,0.932575546036441,0.994710399275943,16,minimum
7,30,6.96563483846349,0.919642857142857,112,103,9,0.854302972302565,0.957149908182511,16,minimum
8,24,5.23878765738169,1,104,104,0,0.964377383124879,1,20,minimum
8,26,5.26318705181427,1,104,104,0,0.964377383124879,1,20,minimum
8,28,6.33847191867701,1,104,104,0,0.964377383124879,1,20,minimum
8,30,6.56639539432589,0.980769230769231,104,102,2,0.932575546036441,0.994710399275943,20,minimum
